team,player,pos,status,injury,description,date
Arizona Cardinals,Zay Jones,WR,Out,Achilles,Jones is out with achilles,Nov 11
Arizona Cardinals,James Conner,RB,Out,Foot,Conner is out with foot,Sep 23
Arizona Cardinals,Greg Dortch,WR,Out,Chest,Dortch is out with chest,Dec 5
Arizona Cardinals,Kyler Murray,QB,Out,Foot,Murray is out with foot,Oct 31
Arizona Cardinals,Andre Baccellia,WR,Out,Neck,Baccellia is out with neck,Dec 16
Arizona Cardinals,Bam Knight,RB,Out,Ankle,Knight is out with ankle,Dec 16
Arizona Cardinals,Marvin Harrison,WR,Out,Foot,Harrison is out with foot,Dec 31
Arizona Cardinals,Trey Benson,RB,Out,Knee,Benson is out with knee,Dec 5
Arizona Cardinals,Tip Reiman,TE,Out,Ankle,Reiman is out with ankle,Oct 7
Atlanta Falcons,KhaDarel Hodge,WR,Out,Shoulder,Hodge is out with shoulder,Dec 23
Atlanta Falcons,Michael Penix,QB,Out,Knee,Penix is out with knee,Nov 18
Baltimore Ravens,Justice Hill,RB,Out,Neck,Hill is out with neck,Nov 29
Baltimore Ravens,Rashod Bateman,WR,Out,Illness,Bateman is out with illness,Jan 3
Buffalo Bills,Curtis Samuel,WR,Questionable,Elbow,Samuel is questionable with elbow,Jan 15
Buffalo Bills,Ty Johnson,RB,Questionable,Ankle,Johnson is questionable with ankle,Jan 13
Buffalo Bills,Mecole Hardman,WR,Out,Calf,Hardman is out with calf,Nov 19
Buffalo Bills,Gabe Davis,WR,Out,Knee,Davis is out with knee,Jan 13
Buffalo Bills,Tyler Bass,K,Out,Did Not Participate In Practice,Bass is out with hip,Sep 5
Buffalo Bills,Joshua Palmer,WR,Out,Ankle,Palmer is out with ankle,Jan 10
Buffalo Bills,Tyrell Shavers,WR,Out,Knee,Shavers is out with knee,Jan 13
Carolina Panthers,David Moore,WR,Out,Elbow,Moore is out with elbow,Oct 2
Carolina Panthers,Damarri Mathis,CB,Out,Did Not Participate In Practice,Mathis is out with knee,Sep 5
Carolina Panthers,Ja'Tavion Sanders,TE,Out,Ankle,Sanders is out with ankle,Dec 30
Cleveland Browns,DeAndre Carter,WR,Out,Knee,Carter is out with knee,Sep 30
Cleveland Browns,David Njoku,TE,Out,Knee,Njoku is out with knee,Dec 19
Cleveland Browns,Jerome Ford,RB,Out,Shoulder,Ford is out with shoulder,Dec 9
Cleveland Browns,Brenden Bates,TE,Out,Ankle,Bates is out with ankle,Nov 29
Cleveland Browns,Quinshon Judkins,RB,Out,Ankle,Judkins is out with ankle,Dec 23
Cleveland Browns,Harold Fannin,TE,Out,Groin,Fannin is out with groin,Jan 2
Dallas Cowboys,Miles Sanders,RB,Out,Ankle,Sanders is out with ankle,Oct 5
Dallas Cowboys,Javonte Williams,RB,Out,Shoulder,Williams is out with shoulder,Jan 2
Dallas Cowboys,Malik Davis,RB,Out,Eye,Davis is out with eye,Jan 2
Denver Broncos,J.K. Dobbins,RB,Out,Foot,Dobbins is out with foot,Nov 12
Detroit Lions,Jamarco Jones,T,Out,Did Not Participate In Practice,Jones is out with ankle,Sep 5
Detroit Lions,Brock Wright,TE,Out,Neck,Wright is out with neck,Dec 3
Detroit Lions,Sam LaPorta,TE,Out,Back,LaPorta is out with back,Nov 14
Green Bay Packers,Micah Parsons,DE,Out,Knee,Parsons is out with knee,Dec 16
Green Bay Packers,John FitzPatrick,TE,Out,Achilles,FitzPatrick is out with achilles,Dec 23
Green Bay Packers,Tucker Kraft,TE,Out,Knee,Kraft is out with knee,Nov 4
Green Bay Packers,Dontayvion Wicks,WR,Out,Head,Wicks is out with head,Jan 9
Green Bay Packers,MarShawn Lloyd,RB,Out,Hamstring,Lloyd is out with hamstring,Sep 2
Green Bay Packers,Savion Williams,WR,Out,Foot,Williams is out with foot,Jan 2
Houston Texans,Joe Mixon,RB,Out,Knee,Mixon is out with knee,Sep 2
Houston Texans,Justin Watson,WR,Out,Head,Watson is out with head,Jan 13
Houston Texans,Nico Collins,WR,Doubtful,Concussion,Collins is doubtful with concussion,Jan 15
Houston Texans,Tank Dell,WR,Out,Knee,Dell is out with knee,Sep 2
Houston Texans,Jawhar Jordan,RB,Questionable,Ankle,Jordan is questionable with ankle,Jan 13
Indianapolis Colts,Daniel Jones,QB,Out,Achilles,Jones is out with achilles,Dec 9
Indianapolis Colts,Drew Ogletree,TE,Out,Neck,Ogletree is out with neck,Dec 27
Indianapolis Colts,Anthony Gould,WR,Out,Foot,Gould is out with foot,Dec 27
Jacksonville Jaguars,Travis Hunter,WR,Out,Knee,Hunter is out with knee,Oct 31
Kansas City Chiefs,Patrick Mahomes,QB,Out,Knee,Mahomes is out with knee,Dec 16
Kansas City Chiefs,Gardner Minshew,QB,Out,Knee,Minshew is out with knee,Dec 23
Kansas City Chiefs,Tyquan Thornton,WR,Out,Concussion,Thornton is out with concussion,Dec 23
Kansas City Chiefs,Isiah Pacheco,RB,Out,Rest,Pacheco is out with rest,Jan 4
Kansas City Chiefs,Rashee Rice,WR,Out,Concussion,Rice is out with concussion,Dec 23
Kansas City Chiefs,Nikko Remigio,WR,Out,Knee,Remigio is out with knee,Dec 30
Kansas City Chiefs,Xavier Worthy,WR,Out,Illness,Worthy is out with illness,Jan 2
Las Vegas Raiders,Raheem Mostert,RB,Out,Ankle,Mostert is out with ankle,Jan 4
Las Vegas Raiders,Brock Bowers,TE,Out,Knee,Bowers is out with knee,Dec 24
Los Angeles Chargers,Najee Harris,RB,Out,Achilles,Harris is out with achilles,Sep 23
Los Angeles Chargers,KeAndre Lambert-Smith,WR,Out,Hamstring,Lambert-Smith is out with hamstring,Jan 9
Los Angeles Rams,Jordan Whittington,WR,Questionable,Knee,Whittington is questionable with knee,Jan 13
Los Angeles Rams,Terrance Ferguson,TE,Questionable,Hamstring,Ferguson is questionable with hamstring,Jan 13
Miami Dolphins,Darren Waller,TE,Out,Groin,Waller is out with groin,Jan 2
Miami Dolphins,Tyreek Hill,WR,Out,Knee,Hill is out with knee,Sep 30
Miami Dolphins,Jaylen Waddle,WR,Out,Ribs,Waddle is out with ribs,Jan 4
Miami Dolphins,Dee Eskridge,WR,Out,Toe,Eskridge is out with toe,Dec 30
Miami Dolphins,De'Von Achane,RB,Out,Shoulder,Achane is out with shoulder,Jan 4
Minnesota Vikings,Aaron Jones,RB,Out,Hip,Jones is out with hip,Jan 2
Minnesota Vikings,T.J. Hockenson,TE,Out,Shoulder,Hockenson is out with shoulder,Dec 24
Minnesota Vikings,Rondale Moore,WR,Out,Knee,Moore is out with knee,Sep 2
New England Patriots,Mack Hollins,WR,Out,Abdomen,Hollins is out with abdomen,Dec 26
New England Patriots,Antonio Gibson,RB,Out,Knee,Gibson is out with knee,Oct 7
New England Patriots,Charles Woods,CB,Questionable,Full Participation In Practice,Woods is questionable with concussion,Sep 5
New England Patriots,Terrell Jennings,RB,Out,Concussion,Jennings is out with concussion,Dec 12
New Orleans Saints,Alvin Kamara,RB,Out,Knee,Kamara is out with knee,Nov 25
New Orleans Saints,Foster Moreau,TE,Out,Ankle,Moreau is out with ankle,Dec 23
New Orleans Saints,Jack Stoll,TE,Out,Knee,Stoll is out with knee,Dec 30
New Orleans Saints,Chris Olave,WR,Out,Lungs,Olave is out with lungs,Jan 1
New Orleans Saints,Kendre Miller,RB,Out,Knee,Miller is out with knee,Oct 21
New Orleans Saints,Devaughn Vele,WR,Out,Shoulder,Vele is out with shoulder,Dec 17
New Orleans Saints,Mason Tipton,WR,Out,Groin,Tipton is out with groin,Jan 2
New Orleans Saints,Devin Neal,RB,Out,Hamstring,Neal is out with hamstring,Dec 17
New York Giants,Wan'Dale Robinson,WR,Out,Ribs,Robinson is out with ribs,Jan 2
New York Giants,Malik Nabers,WR,Out,Knee,Nabers is out with knee,Sep 30
New York Giants,Theo Johnson,TE,Out,Illness,Johnson is out with illness,Jan 2
New York Giants,Cam Skattebo,RB,Out,Ankle,Skattebo is out with ankle,Oct 28
New York Jets,Tyrod Taylor,QB,Out,Groin,Taylor is out with groin,Dec 9
New York Jets,Josh Reynolds,WR,Out,Hip,Reynolds is out with hip,Oct 25
New York Jets,Alijah Vera-Tucker,G,Out,Did Not Participate In Practice,Vera-Tucker is out with triceps,Sep 5
New York Jets,Garrett Wilson,WR,Out,Knee,Wilson is out with knee,Nov 11
New York Jets,Breece Hall,RB,Out,Knee,Hall is out with knee,Jan 3
New York Jets,Braelon Allen,RB,Out,Knee,Allen is out with knee,Sep 30
New York Jets,Isaiah Davis,RB,Out,Concussion,Davis is out with concussion,Jan 2
New York Jets,Mason Taylor,TE,Out,Neck,Taylor is out with neck,Dec 17
Pittsburgh Steelers,Darnell Washington,TE,Out,Arm,Washington is out with arm,Dec 30
San Francisco 49ers,George Kittle,TE,Out,Achilles,Kittle is out with achilles,Jan 13
San Francisco 49ers,Brandon Aiyuk,WR,Out,Knee,Aiyuk is out with knee,Sep 2
San Francisco 49ers,Colton Dowell,WR,Out,Knee,Dowell is out with knee,Dec 22
San Francisco 49ers,Ricky Pearsall,WR,Questionable,Knee,Pearsall is questionable with knee,Jan 13
San Francisco 49ers,Jacob Cowing,WR,Questionable,Hamstring,Cowing is questionable with hamstring,Jan 13
Seattle Seahawks,Cody White,WR,Out,Groin,White is out with groin,Dec 30
Seattle Seahawks,Dareke Young,WR,Out,Quad,Young is out with quad,Nov 7
Seattle Seahawks,George Holani,RB,Out,Hamstring,Holani is out with hamstring,Nov 25
Seattle Seahawks,Elijah Arroyo,TE,Out,Knee,Arroyo is out with knee,Dec 9
Seattle Seahawks,Tory Horton,WR,Out,Groin,Horton is out with groin,Nov 21
Tampa Bay Buccaneers,Ko Kieft,TE,Out,Leg,Kieft is out with leg,Sep 23
Tennessee Titans,Calvin Ridley,WR,Out,Leg,Ridley is out with leg,Nov 18
Tennessee Titans,Van Jefferson,WR,Out,Arm,Jefferson is out with arm,Dec 30
Tennessee Titans,Gunnar Helm,TE,Out,Toe,Helm is out with toe,Jan 2
Washington Commanders,Marcus Mariota,QB,Out,Hand,Mariota is out with hand,Dec 23
Washington Commanders,Zach Ertz,TE,Out,Knee,Ertz is out with knee,Dec 9
Washington Commanders,Noah Brown,WR,Out,Ribs,Brown is out with ribs,Dec 16
Washington Commanders,Austin Ekeler,RB,Out,Achilles,Ekeler is out with achilles,Sep 16
Washington Commanders,Jayden Daniels,QB,Out,Elbow,Daniels is out with elbow,Dec 10
Washington Commanders,Luke McCaffrey,WR,Out,Collarbone,McCaffrey is out with collarbone,Nov 4
Washington Commanders,Jaylin Lane,WR,Out,Ankle,Lane is out with ankle,Dec 23
