week,game,bet_type,amount,line,odds,to_win,result,profit_loss,logged_date
14,Houston Texans @ Kansas City Chiefs,spread,150,+3.5,-118,277,WIN,,2025-12-12T16:46:14.493709
14,Dallas Cowboys @ Detroit Lions,total,150,o54.5,-108,288,WIN,,2025-12-12T16:46:14.494874
14,Houston Texans @ Kansas City Chiefs,total,200,u41.5,-110,381,WIN,,2025-12-12T16:46:14.495599
15,Atlanta Falcons @ Tampa Bay Buccaneers,spread,200,+5.5,-108,385,WIN,,2025-12-12T16:46:39.123226
15,Miami Dolphins @ Pittsburgh Steelers,total,100,u41.5,-110,190,LOSS,,2025-12-16T14:25:58.177923
15,Miami Dolphins @ Pittsburgh Steelers,spread,100,+3,-108,192,LOSS,,2025-12-16T14:25:58.178780
15,Los Angeles Chargers @ Kansas City Chiefs,spread,100,+5.5,-108,192,WIN,,2025-12-16T14:25:58.179500
16,San Francisco 49ers @ Indianapolis Colts,spread,50,-5.5,-110,,WIN,,2025-12-25T03:33:34.998415
16,Las Vegas Raiders @ Houston Texans,spread,100,+14.5,-110,,WIN,,2025-12-25T03:33:34.999526
16,Buffalo Bills @ Cleveland Browns,total,50,u41.5,-110,,LOSS,,2025-12-25T03:33:35.000294
16,Atlanta Falcons @ Arizona Cardinals,spread,100,+3,-110,,LOSS,,2025-12-25T03:33:35.001034
16,Buffalo Bills @ Cleveland Browns,total,100,u41.5,-110,,LOSS,,2025-12-25T03:33:35.001763
16,Las Vegas Raiders @ Houston Texans,spread,100,+14.5,-110,,WIN,,2025-12-25T03:33:35.002454
16,Philadelphia Eagles @ Washington Commanders,spread,100,-6.5,-110,,WIN,,2025-12-25T03:33:35.003173
16,Tampa Bay Buccaneers @ Carolina Panthers,spread,100,-3,-110,,LOSS,,2025-12-25T03:33:35.003875
