season,team,warps_wins,market_total,edge,mean_wins,median_wins,p10_wins,p25_wins,p75_wins,p90_wins,prob_over,prob_under,prob_push,prob_10_plus,prob_12_plus,prob_6_or_less,simulations,direction,tier
2026,MIA,6.76,4.5,2.26,6.756,6.79,2.85,4.69,8.78,10.61,0.7696,0.2304,0.0,0.1842,0.0415,0.4561,100000,OVER,strong
2026,ARI,6.68,4.5,2.18,6.689,6.72,2.79,4.66,8.7,10.52,0.7629,0.2371,0.0,0.1767,0.0373,0.4675,100000,OVER,strong
2026,IND,9.56,7.5,2.06,9.56,9.6,5.67,7.53,11.56,13.41,0.7512,0.2488,0.0,0.5098,0.2673,0.1604,100000,OVER,strong
2026,LAC,8.45,10.5,-2.05,8.443,8.48,4.6,6.39,10.44,12.29,0.2448,0.7552,0.0,0.3787,0.1586,0.2558,100000,UNDER,strong
2026,DAL,7.09,9.5,-2.41,7.082,7.12,3.2,5.03,9.09,10.93,0.2176,0.7824,0.0,0.2176,0.0567,0.4104,100000,UNDER,strong
2026,SEA,11.44,10.5,0.94,11.431,11.47,7.59,9.42,13.46,15.29,0.6248,0.3752,0.0,0.7444,0.4937,0.0408,100000,OVER,thin
2026,JAX,10.47,9.5,0.97,10.471,10.5,6.58,8.41,12.49,14.32,0.6245,0.3755,0.0,0.6245,0.3818,0.092,100000,OVER,thin
2026,MIN,9.03,8.5,0.53,9.029,9.06,5.18,7.01,11.02,12.87,0.5802,0.4198,0.0,0.4427,0.2102,0.1993,100000,OVER,thin
2026,ATL,7.99,7.5,0.49,7.991,8.03,4.14,5.96,9.99,11.84,0.5747,0.4253,0.0,0.3178,0.1258,0.3197,100000,OVER,thin
2026,PIT,8.88,8.5,0.38,8.889,8.91,5.03,6.85,10.91,12.73,0.5569,0.4431,0.0,0.4296,0.1953,0.2194,100000,OVER,thin
2026,CLE,6.76,6.5,0.26,6.77,6.8,2.91,4.73,8.76,10.6,0.5466,0.4534,0.0,0.1849,0.0406,0.4534,100000,OVER,thin
2026,NYG,7.53,7.5,0.03,7.531,7.57,3.64,5.5,9.55,11.34,0.5108,0.4892,0.0,0.2584,0.0878,0.3669,100000,OVER,thin
2026,DEN,9.52,9.5,0.02,9.523,9.56,5.67,7.46,11.52,13.36,0.5083,0.4917,0.0,0.5083,0.2569,0.1628,100000,OVER,thin
2026,TB,8.56,8.5,0.06,8.548,8.59,4.66,6.5,10.55,12.4,0.5081,0.4919,0.0,0.3855,0.1712,0.2506,100000,OVER,thin
2026,NO,7.51,7.5,0.01,7.506,7.54,3.66,5.48,9.5,11.36,0.5041,0.4959,0.0,0.251,0.0883,0.3713,100000,OVER,thin
2026,DET,10.45,10.5,-0.05,10.457,10.49,6.6,8.46,12.45,14.3,0.4983,0.5017,0.0,0.6266,0.3814,0.0907,100000,UNDER,thin
2026,LV,5.24,5.5,-0.26,5.257,5.27,1.35,3.18,7.24,9.09,0.4753,0.5247,0.0,0.0626,0.0092,0.654,100000,UNDER,thin
2026,BUF,10.22,10.5,-0.28,10.217,10.26,6.32,8.19,12.22,14.06,0.4734,0.5266,0.0,0.6032,0.3477,0.1173,100000,UNDER,thin
2026,NE,10.04,10.5,-0.46,10.045,10.08,6.19,8.05,12.04,13.89,0.4464,0.5536,0.0,0.5883,0.3262,0.1358,100000,UNDER,thin
2026,CAR,7.02,7.5,-0.48,7.033,7.06,3.17,5.0,9.01,10.86,0.4454,0.5546,0.0,0.2106,0.0554,0.4197,100000,UNDER,thin
2026,LAR,11.04,11.5,-0.46,11.03,11.07,7.19,9.02,13.04,14.89,0.4438,0.5562,0.0,0.6868,0.4438,0.06,100000,UNDER,thin
2026,TEN,5.97,6.5,-0.53,5.977,6.0,2.08,3.9,7.97,9.82,0.4373,0.5627,0.0,0.1266,0.0235,0.5627,100000,UNDER,thin
2026,NYJ,4.93,5.5,-0.57,4.954,4.96,1.04,2.84,6.92,8.77,0.4311,0.5689,0.0,0.0461,0.0057,0.6875,100000,UNDER,thin
2026,PHI,9.82,10.5,-0.68,9.821,9.86,5.93,7.79,11.82,13.67,0.42,0.58,0.0,0.549,0.3032,0.1442,100000,UNDER,thin
2026,WAS,6.71,7.5,-0.79,6.711,6.74,2.8,4.65,8.73,10.56,0.4063,0.5937,0.0,0.1802,0.0404,0.4678,100000,UNDER,thin
2026,SF,9.64,10.5,-0.86,9.644,9.68,5.75,7.61,11.64,13.49,0.3984,0.6016,0.0,0.5169,0.2792,0.1552,100000,UNDER,thin
2026,CHI,8.44,9.5,-1.06,8.449,8.48,4.59,6.41,10.46,12.25,0.3825,0.6175,0.0,0.3825,0.1585,0.2571,100000,UNDER,thin
2026,KC,9.32,10.5,-1.18,9.314,9.35,5.43,7.26,11.32,13.16,0.3601,0.6399,0.0,0.4825,0.2415,0.1787,100000,UNDER,thin
2026,HOU,10.8,9.5,1.3,10.802,10.84,6.95,8.78,12.8,14.64,0.6604,0.3396,0.0,0.6604,0.4147,0.0753,100000,OVER,watch
2026,GB,8.87,10.5,-1.63,8.858,8.91,4.96,6.78,10.86,12.71,0.3083,0.6917,0.0,0.4263,0.1929,0.222,100000,UNDER,watch
2026,CIN,7.74,9.5,-1.76,7.735,7.77,3.85,5.68,9.73,11.59,0.2887,0.7113,0.0,0.2887,0.1045,0.3473,100000,UNDER,watch
2026,BAL,9.53,11.5,-1.97,9.525,9.57,5.68,7.5,11.52,13.34,0.2562,0.7438,0.0,0.5089,0.2562,0.1609,100000,UNDER,watch
