season,teams,warps_mae,pyth_mae,pw_mae,warps_rmse
2000,31,2.4557624681247634,2.587180325354126,2.774193548387097,2.800275940991393
2001,31,2.5903581511550287,3.45210775357774,3.3548387096774195,3.209688098553489
2002,32,1.9354422144308177,2.120578252801149,2.5483870967741935,2.422837361338768
2003,32,2.634545189894147,2.8745375633029635,3.125,3.042665331733005
2004,32,2.3461776038212347,2.792460141302733,2.75,3.0499608727542378
2005,32,2.7840538616091504,2.944411918377899,3.5,3.171396906233546
2006,32,2.1523840424530993,2.802595894672373,3.25,2.6487425712023254
2007,32,2.68168356127063,3.0038321132805965,3.25,3.2392234641993736
2008,32,2.589627889042047,3.0154346816937654,3.21875,3.2322932803484314
2009,32,2.113330577363562,2.116626220266859,2.4375,2.5400043889299058
2010,32,2.4023635361490077,2.896278264560208,3.3125,2.8355444595566404
2011,32,2.106782578855181,2.2796027760264326,2.8125,2.7132551910200426
2012,32,2.5346663439799118,2.6981905955395407,3.09375,2.9374401381359814
2013,32,2.3640348365857684,2.607360077706067,2.71875,3.00021771047737
2014,32,2.093901018293179,2.0178934834090767,2.1875,2.500058321333525
2015,32,2.300536717976069,2.4845046338450545,2.6875,2.8849081231722553
2016,32,2.4253032219462556,2.597135967664369,2.84375,2.921580423505372
2017,32,2.217014350442836,2.303367705378433,3.125,2.7673831911912905
2018,32,2.0910329340731195,2.1981557147987596,2.71875,2.504680164396797
2019,32,2.2117624520094683,2.25875984241999,2.46875,2.7797101391288956
2020,32,2.779871243042247,2.8961867102769006,2.90625,3.118453021208826
2021,32,1.9378254724672168,1.9962128770095158,2.3125,2.203684641492075
2022,32,2.4598500148137754,2.852656099704431,3.0,2.864318449718084
2023,32,1.8981182783366708,2.13081416994838,2.59375,2.3907884000063135
2024,32,3.012501902204952,3.0761810764080453,2.9375,3.521063088263613
2025,32,2.6732022593947,2.9780274204456,3.15625,3.239601126859951
