model,edge_threshold,price_edge_threshold,bets,wins,pushes,losses,win_pct,units,roi_pct
WARPS v1.5d,0.5,0.0,58,24,2,32,42.86,-9.915,-17.71
WARPS v1.5d,0.5,0.05,49,21,1,27,43.75,-7.024,-14.63
WARPS v1.5d,0.5,0.1,40,16,1,23,41.03,-7.084,-18.17
WARPS v1.5d,1.0,0.0,29,11,1,17,39.29,-6.822,-24.36
WARPS v1.5d,1.0,0.05,29,11,1,17,39.29,-6.822,-24.36
WARPS v1.5d,1.0,0.1,26,9,1,16,36.0,-7.155,-28.62
WARPS v1.5d,1.5,0.0,11,5,0,6,45.45,-0.81,-7.37
WARPS v1.5d,1.5,0.05,11,5,0,6,45.45,-0.81,-7.37
WARPS v1.5d,1.5,0.1,11,5,0,6,45.45,-0.81,-7.37
WARPS v1.5d,2.0,0.0,5,2,0,3,40.0,-1.0,-20.0
WARPS v1.5d,2.0,0.05,5,2,0,3,40.0,-1.0,-20.0
WARPS v1.5d,2.0,0.1,5,2,0,3,40.0,-1.0,-20.0
WARPS v1.6,0.5,0.0,61,24,0,37,39.34,-13.538,-22.19
WARPS v1.6,0.5,0.05,56,22,0,34,39.29,-11.878,-21.21
WARPS v1.6,0.5,0.1,51,19,0,32,37.25,-12.237,-23.99
WARPS v1.6,1.0,0.0,33,11,0,22,33.33,-11.268,-34.15
WARPS v1.6,1.0,0.05,32,11,0,21,34.38,-10.268,-32.09
WARPS v1.6,1.0,0.1,31,10,0,21,32.26,-10.958,-35.35
WARPS v1.6,1.5,0.0,12,6,0,6,50.0,0.409,3.41
WARPS v1.6,1.5,0.05,12,6,0,6,50.0,0.409,3.41
WARPS v1.6,1.5,0.1,12,6,0,6,50.0,0.409,3.41
WARPS v1.6,2.0,0.0,2,1,0,1,50.0,0.0,0.0
WARPS v1.6,2.0,0.05,2,1,0,1,50.0,0.0,0.0
WARPS v1.6,2.0,0.1,2,1,0,1,50.0,0.0,0.0
WARPS v1.7,0.5,0.0,61,24,0,37,39.34,-13.538,-22.19
WARPS v1.7,0.5,0.05,55,22,0,33,40.0,-10.878,-19.78
WARPS v1.7,0.5,0.1,50,19,0,31,38.0,-11.237,-22.47
WARPS v1.7,1.0,0.0,32,11,0,21,34.38,-10.268,-32.09
WARPS v1.7,1.0,0.05,31,11,0,20,35.48,-9.268,-29.9
WARPS v1.7,1.0,0.1,29,10,0,19,34.48,-8.958,-30.89
WARPS v1.7,1.5,0.0,12,6,0,6,50.0,0.409,3.41
WARPS v1.7,1.5,0.05,12,6,0,6,50.0,0.409,3.41
WARPS v1.7,1.5,0.1,12,6,0,6,50.0,0.409,3.41
WARPS v1.7,2.0,0.0,2,1,0,1,50.0,0.0,0.0
WARPS v1.7,2.0,0.05,2,1,0,1,50.0,0.0,0.0
WARPS v1.7,2.0,0.1,2,1,0,1,50.0,0.0,0.0
WARPS v1.8,0.5,0.0,307,141,10,156,47.47,-26.262,-8.84
WARPS v1.8,0.5,0.05,266,121,8,137,46.9,-20.725,-8.03
WARPS v1.8,0.5,0.1,190,89,5,96,48.11,-5.164,-2.79
WARPS v1.8,1.0,0.0,155,71,3,81,46.71,-17.249,-11.35
WARPS v1.8,1.0,0.05,144,65,3,76,46.1,-16.01,-11.35
WARPS v1.8,1.0,0.1,122,54,3,65,45.38,-12.546,-10.54
WARPS v1.8,1.5,0.0,55,27,1,27,50.0,-2.903,-5.38
WARPS v1.8,1.5,0.05,55,27,1,27,50.0,-2.903,-5.38
WARPS v1.8,1.5,0.1,53,25,1,27,48.08,-3.992,-7.68
WARPS v1.8,2.0,0.0,8,4,0,4,50.0,0.069,0.86
WARPS v1.8,2.0,0.05,8,4,0,4,50.0,0.069,0.86
WARPS v1.8,2.0,0.1,8,4,0,4,50.0,0.069,0.86
WARPS v2.3,0.5,0.0,309,152,9,148,50.67,-5.327,-1.78
WARPS v2.3,0.5,0.05,263,131,6,126,50.97,2.625,1.02
WARPS v2.3,0.5,0.1,199,94,5,100,48.45,-1.741,-0.9
WARPS v2.3,1.0,0.0,143,66,4,73,47.48,-12.966,-9.33
WARPS v2.3,1.0,0.05,138,62,4,72,46.27,-14.423,-10.76
WARPS v2.3,1.0,0.1,122,54,4,64,45.76,-11.662,-9.88
WARPS v2.3,1.5,0.0,51,23,1,27,46.0,-7.128,-14.26
WARPS v2.3,1.5,0.05,51,23,1,27,46.0,-7.128,-14.26
WARPS v2.3,1.5,0.1,48,21,1,26,44.68,-7.216,-15.35
WARPS v2.3,2.0,0.0,20,10,0,10,50.0,-1.581,-7.9
WARPS v2.3,2.0,0.05,20,10,0,10,50.0,-1.581,-7.9
WARPS v2.3,2.0,0.1,20,10,0,10,50.0,-1.581,-7.9
