model,threshold,n,n_win,n_push,n_lose,win_pct,units,roi_pct
WARPS v1.8,0.5,325,148,13,164,47.4,-29.934,-9.59
WARPS v1.8,1.0,155,71,3,81,46.7,-17.25,-11.35
WARPS v1.8,1.5,55,27,1,27,50.0,-2.904,-5.38
WARPS v1.8,2.0,8,4,0,4,50.0,0.069,0.86
WARPS v1.8,2.5,5,2,0,3,40.0,-0.95,-19.0
Pythagorean (baseline),0.5,426,195,19,212,47.9,-28.278,-6.95
Pythagorean (baseline),1.0,302,135,13,154,46.7,-27.394,-9.48
Pythagorean (baseline),1.5,179,81,5,93,46.6,-16.847,-9.68
Pythagorean (baseline),2.0,95,38,1,56,40.4,-19.197,-20.42
Pythagorean (baseline),2.5,52,15,0,37,28.8,-22.841,-43.92
Prior-year wins (baseline),0.5,531,233,19,279,45.5,-58.597,-11.44
Prior-year wins (baseline),1.0,412,175,18,219,44.4,-53.507,-13.58
Prior-year wins (baseline),1.5,314,136,9,169,44.6,-39.83,-13.06
Prior-year wins (baseline),2.0,226,84,9,133,38.7,-52.66,-24.27
Prior-year wins (baseline),2.5,163,64,3,96,40.0,-33.801,-21.13
3-model consensus,0.5,109,48,4,57,45.7,-11.188,-10.66
3-model consensus,1.0,51,24,0,27,47.1,-3.07,-6.02
3-model consensus,1.5,19,10,0,9,52.6,1.812,9.54
3-model consensus,2.0,3,2,0,1,66.7,1.25,41.67
3-model consensus,2.5,1,1,0,0,100.0,1.0,100.0
