matchup,referee,away,home,spread,favorite,game_type,query,su_record,su_pct,ats_record,ats_pct,ou_record,ou_pct
Raiders at Broncos,Bill Vinovich,LV,DEN,0,HF,DIV,'Bill Vinovich' in officials and HF and DIV and REG and season>=2018,,,,,,
Falcons vs. Colts,Clete Blakeman,ATL,IND,0,HF,NDIV,'Clete Blakeman' in officials and HF and NDIV and REG and season>=2018,,,,,,
Saints at Panthers,Brad Allen,NO,CAR,0,HF,DIV,'Brad Allen' in officials and HF and DIV and REG and season>=2018,,,,,,
Giants at Bears,Adrian Hill,NYG,CHI,0,HF,C,'Adrian Hill' in officials and HF and C and REG and season>=2018,,,,,,
Jaguars at Texans,Alex Moore,JAX,HOU,0,HF,DIV,'Alex Moore' in officials and HF and DIV and REG and season>=2018,,,,,,
Bills at Dolphins,Ron Torbert,BUF,MIA,0,HF,DIV,'Ron Torbert' in officials and HF and DIV and REG and season>=2018,,,,,,
Ravens at Vikings,Shawn Hochuli,BAL,MIN,0,HF,NDIV,'Shawn Hochuli' in officials and HF and NDIV and REG and season>=2018,,,,,,
Browns at Jets,Shawn Smith,CLE,NYJ,0,HF,C,'Shawn Smith' in officials and HF and C and REG and season>=2018,,,,,,
Patriots at Buccaneers,Alex Kemp,NE,TB,0,HF,NDIV,'Alex Kemp' in officials and HF and NDIV and REG and season>=2018,,,,,,
Cardinals at Seahawks,Alan Eck,ARI,SEA,0,HF,DIV,'Alan Eck' in officials and HF and DIV and REG and season>=2018,,,,,,
Rams at 49ers,Land Clark,LAR,SF,0,HF,DIV,'Land Clark' in officials and HF and DIV and REG and season>=2018,,,,,,
Lions at Commanders,Scott Novak,DET,WAS,0,HF,C,'Scott Novak' in officials and HF and C and REG and season>=2018,,,,,,
Steelers at Chargers,Brad Rogers,PIT,LAC,0,HF,C,'Brad Rogers' in officials and HF and C and REG and season>=2018,,,,,,
Eagles at Packers,Clay Martin,PHI,GB,0,HF,C,'Clay Martin' in officials and HF and C and REG and season>=2018,,,,,,
